TCS,ITC,TATAINVEST,TATA MOTORS,TATA POWER,TATA STEEL
-0.00107641,-0.004282213,-0.017196949,-0.021521758,-0.001859427,-0.019785581
0.008119101,0.001478809,0.017622378,0.014929352,0.005108398,-0.001383375
-0.013322036,0.003353315,-0.001466378,0.003406213,-0.006560218,-0.021625916
-0.004619513,0.024255319,0.02576775,0.026582696,0.017890891,0.018459141
-0.003145147,0.006331631,-0.000608458,-0.011938787,0.00736134,0.005514041
-0.000328546,-0.002075639,0.002421785,0.020810636,0.000126936,0.010012478
0.016425335,0.001130669,0.003908009,0.002703253,0.013117284,0.012635212
0.015633072,0.006365901,0.010537235,0.018922386,0.011972931,0.018263407
-0.000425745,0.02274014,0.008368201,-0.001111844,0.020858244,0.009823494
-0.003711442,-0.023525799,-0.018356722,-0.01014755,0.014010508,-0.013905381
-0.00077311,-0.000828551,-0.036668749,-0.024705733,-0.032833876,-0.001435347
0.003678889,-0.011316748,-0.048260826,-0.01369101,-0.009166021,0.000374579
0.002875731,-0.023291649,0.002234692,-0.021147293,0.009645464,0.004357777
-0.015543457,-0.006038114,0.014356236,0.015590439,-0.014641665,-0.021684456
-0.022986322,-0.015113715,-0.011748307,-0.006979133,0.000899859,-0.026397516
-0.009912164,-0.004016064,0.019540172,0.012083184,-0.002564431,-0.023787313
0.003760775,0.003479168,-0.003254528,-0.007102298,-0.011658852,-0.006458713
-0.000641488,-0.013951228,0.002027644,0.010468191,-0.013254971,-0.000289545
0.001447326,-0.016559829,0.000760945,0.021271515,-0.015511511,0.014689896
0.021804857,0.012929316,-0.009928009,0.002707581,0.012969198,0.006833107
0.037767377,-0.001308305,0.009447195,0.006283247,-0.005703658,-0.025482848
0.022988694,0.017449431,0.007834988,0.0181156,0.012427818,-0.003189564
0.003558485,0.004155286,3.40663E-05,-0.002953904,0.018409614,-0.000746547
0.001050135,0.006463311,0.00244169,0.020192714,0.00475273,-0.000803328
-0.013227352,-0.001693381,-0.001976756,0.008517558,-0.020261767,-0.045931076
-0.011027831,-0.003752182,0.011723734,0.001628728,0.018065343,-0.013767783
-0.005272963,-0.009678534,0.023649006,-0.006357891,0,0.007698585
0.009801547,-0.002872243,-0.004532677,-0.014861351,0.007356737,-0.007103692
0.001961728,0.027657251,0.001812838,0.011286205,-0.001546392,-0.012140456
0.004571201,0.025362428,0.013702296,0.016506351,0.025099075,0.033961431
-0.006090124,0.022941176,-0.01167322,0.016743042,-0.016755423,0.003043972
-0.016991274,-0.01494358,-0.023385972,-0.013831286,0.005222614,-0.038270126
0.020449997,0.005088279,0.036964946,0.020564629,0.034860154,0.006617017
-0.021473621,0.02042476,0.007538683,0.013558362,0.029919288,0.022488838
-0.011535734,-0.000281426,-0.010292389,-0.031419667,-0.022179888,-0.009469286
0.000784292,-0.021629394,-0.022267876,-0.029318874,-0.009969015,-0.022361336
0.009964712,-0.001923664,0.005954779,0.019632187,0.027831626,0.047078102
0.005767936,0.007816347,-0.028615662,-0.003017175,-0.00742166,0.007358496
0.006148075,-0.003190184,0.004237071,0.006110138,-0.009394146,-0.017186383
-0.006798903,0.003601884,-0.005014789,-0.012831841,0.002730375,0.007005787
0.002698161,-0.004413523,-0.019174336,0.008817317,-0.017174292,-0.007721053
-0.002611496,-0.012410328,0.002473758,0.004809565,-0.018308746,-0.00882401
-0.014944629,-0.007182354,-0.007778165,0.011841198,-0.025667351,0.017316377
-0.006138365,0.002258968,0.009780115,-0.005759173,0.022303857,0.048635928
-0.01110366,0.012472554,-0.00465062,-0.007774689,0,0.00133826
-0.004370633,-0.007656226,-0.010294312,0.012436783,0.01775938,0.026979385
-0.001586104,0.034498951,0.018910423,0.021036769,-0.000400427,0.00552785
-0.002133231,0.014965684,0.013009348,0.05729399,-0.005706702,0.008574978
0.00351032,-0.004523169,-0.007285574,-0.023381743,0.014678158,0.014197474
-0.003029237,-0.011722413,-0.026061474,-0.004276241,-0.004023605,-0.00895386
-0.003016286,-0.015571147,-0.004474383,0.020469685,-0.016229054,-0.006084272
0.006482341,-0.01955105,0.028158334,0.009341022,0.00811386,0.018058552
-0.002320417,0.027466055,0.018239533,0.042015875,0.040121749,0.021918498
0.001837495,0.057188739,0.00391022,0.004364673,0.038356558,0.025149314
0.009014832,0.012980546,0.000120594,0.012879215,-0.01722434,-0.001096456
0.002810254,-0.004264322,0.007673078,0.023406662,-0.005755194,0.014393667
0.000683623,-0.009235909,-0.000121505,-0.012401687,-0.005305781,0.014502854
-0.004658679,0.013678165,-0.012597265,-0.015132805,-0.028749661,-0.012615919
0.000599609,0.00023245,0.003802151,0.025629807,0.017945886,0.01398857
0.02308149,0.007022472,0.007295855,0.028905843,0.009616725,0.012038469
0.00944444,0.002783274,-0.007755137,-0.004082211,-0.007332595,-0.00428581
-0.003042976,-0.001840943,0.001843302,-0.007261824,-0.013511669,0.016403485
-0.002126349,0.001575648,-0.010314903,-0.012765662,0.003011636,-0.037851997
-0.006726962,-0.009233733,-0.014102737,-0.023177536,0.004123711,0.003911771
-0.005379321,-0.004661465,-0.028717898,0.015111906,0.00275672,-0.008053998
-0.015581153,-0.006340133,0.008662001,-0.011134039,-0.011310984,-0.010134917
0.001963571,-0.014343997,0.011779799,0.002660179,-0.006095083,-0.01299777
0.003423726,-0.013164622,-6.66422E-05,0.014368413,-0.005656566,0.017108418
0.007604354,-0.009212651,0.010726614,0.001339461,-0.005358339,0.019220608
-0.010085975,0.011625673,0.004278563,-0.005352139,0.009465855,0.011356045
0.003949924,0.008657449,0.010630661,0.020870462,0.016914191,0.023834764
0.004943235,0.004608295,-0.007800577,-0.003132451,-0.015301286,-0.027017135
-0.010594294,-0.015527157,-0.006603551,-0.028721931,-0.010318949,-0.020371578
0.000232215,-0.003850928,-0.000976102,0.0018425,-0.006126798,-0.000456115
-0.004381199,-0.002887789,-0.000941556,0.015101136,0.006569245,0.013404649
-0.006994559,-0.000444078,-0.006829757,0.01404889,0.011801411,0.024419942
-0.005453252,0.001429434,-0.002448694,-0.010335079,-0.008206646,-0.012458666
0.011988478,-0.007534678,0.014619636,0.056660137,0.022842989,0.043825396
